locus_tag	ftype	length_bp	gene	EC_number	COG	product
ICLPPAIG_16576	CDS	801				hypothetical protein
ICLPPAIG_16577	CDS	2472				hypothetical protein
ICLPPAIG_16578	CDS	7149				hypothetical protein
ICLPPAIG_16579	CDS	432				hypothetical protein
ICLPPAIG_16580	CDS	612				hypothetical protein
ICLPPAIG_16581	CDS	105				hypothetical protein
ICLPPAIG_16582	CDS	1500				hypothetical protein
ICLPPAIG_16583	CDS	888				hypothetical protein
ICLPPAIG_16584	CDS	207				hypothetical protein
ICLPPAIG_16585	CDS	204				hypothetical protein
ICLPPAIG_16586	CDS	1269				hypothetical protein
ICLPPAIG_16587	CDS	234				hypothetical protein
ICLPPAIG_16588	CDS	267				hypothetical protein
ICLPPAIG_16589	CDS	1764				hypothetical protein
ICLPPAIG_16590	CDS	192				hypothetical protein
ICLPPAIG_16591	CDS	138				hypothetical protein
ICLPPAIG_16592	CDS	1194				hypothetical protein
ICLPPAIG_16593	CDS	1575	nuoF_2	7.1.1.-		NADH-quinone oxidoreductase subunit F
ICLPPAIG_16594	CDS	225				hypothetical protein
ICLPPAIG_16595	CDS	1329				hypothetical protein
ICLPPAIG_16596	CDS	294	eno_4	4.2.1.11		Enolase
ICLPPAIG_16597	CDS	435				hypothetical protein
ICLPPAIG_16598	CDS	141				hypothetical protein
ICLPPAIG_16599	CDS	1197				hypothetical protein
ICLPPAIG_16600	CDS	351				hypothetical protein
ICLPPAIG_16601	CDS	159				hypothetical protein
ICLPPAIG_16602	CDS	240				hypothetical protein
ICLPPAIG_16603	CDS	282				hypothetical protein
ICLPPAIG_16604	rRNA	117				5S ribosomal RNA
ICLPPAIG_16605	CDS	288				hypothetical protein
ICLPPAIG_16606	CDS	1053				hypothetical protein
ICLPPAIG_16607	CDS	420				hypothetical protein
ICLPPAIG_16608	CDS	255				hypothetical protein
ICLPPAIG_16609	CDS	162				hypothetical protein
ICLPPAIG_16610	CDS	165				hypothetical protein
ICLPPAIG_16611	CDS	180				hypothetical protein
ICLPPAIG_16612	CDS	567				hypothetical protein
ICLPPAIG_16613	CDS	222				hypothetical protein
ICLPPAIG_16614	CDS	150				hypothetical protein
ICLPPAIG_16615	CDS	285				hypothetical protein
ICLPPAIG_16616	CDS	279				hypothetical protein
ICLPPAIG_16617	CDS	303				hypothetical protein
ICLPPAIG_16618	CDS	201				hypothetical protein
ICLPPAIG_16619	CDS	2619				hypothetical protein
ICLPPAIG_16620	CDS	1419				hypothetical protein
ICLPPAIG_16621	CDS	2904	bipA_4	3.6.5.-		Large ribosomal subunit assembly factor BipA
ICLPPAIG_16622	CDS	309				hypothetical protein
ICLPPAIG_16623	CDS	579				hypothetical protein
ICLPPAIG_16624	CDS	2154				hypothetical protein
ICLPPAIG_16625	CDS	120				hypothetical protein
ICLPPAIG_16626	CDS	459				hypothetical protein
ICLPPAIG_16627	CDS	219				hypothetical protein
ICLPPAIG_16628	CDS	447				hypothetical protein
ICLPPAIG_16629	CDS	1860	mdtL_6			Multidrug resistance protein MdtL
ICLPPAIG_16630	CDS	165				hypothetical protein
ICLPPAIG_16631	CDS	201				hypothetical protein
ICLPPAIG_16632	CDS	2001				hypothetical protein
ICLPPAIG_16633	CDS	141				hypothetical protein
ICLPPAIG_16634	CDS	228				hypothetical protein
ICLPPAIG_16635	CDS	189				hypothetical protein
ICLPPAIG_16636	CDS	192				hypothetical protein
ICLPPAIG_16637	CDS	906				hypothetical protein
ICLPPAIG_16638	CDS	981				hypothetical protein
ICLPPAIG_16639	CDS	465				hypothetical protein
ICLPPAIG_16640	CDS	231				hypothetical protein
ICLPPAIG_16641	CDS	987				hypothetical protein
ICLPPAIG_16642	CDS	234				hypothetical protein
ICLPPAIG_16643	CDS	1314				hypothetical protein
ICLPPAIG_16644	CDS	267				hypothetical protein
ICLPPAIG_16645	CDS	792				hypothetical protein
ICLPPAIG_16646	CDS	588				hypothetical protein
ICLPPAIG_16647	CDS	210				hypothetical protein
ICLPPAIG_16648	CDS	1083				hypothetical protein
ICLPPAIG_16649	CDS	396				hypothetical protein
ICLPPAIG_16650	CDS	1074				hypothetical protein
ICLPPAIG_16651	CDS	180				hypothetical protein
ICLPPAIG_16652	CDS	192				hypothetical protein
ICLPPAIG_16653	CDS	1878				hypothetical protein
ICLPPAIG_16654	CDS	198				hypothetical protein
ICLPPAIG_16655	CDS	420				hypothetical protein
ICLPPAIG_16656	CDS	261				hypothetical protein
ICLPPAIG_16657	CDS	171				hypothetical protein
ICLPPAIG_16658	CDS	528				hypothetical protein
ICLPPAIG_16659	CDS	144				hypothetical protein
ICLPPAIG_16660	CDS	111				hypothetical protein
ICLPPAIG_16661	CDS	201				hypothetical protein
ICLPPAIG_16662	CDS	285				hypothetical protein
ICLPPAIG_16663	CDS	132				hypothetical protein
ICLPPAIG_16664	CDS	2961				hypothetical protein
ICLPPAIG_16665	CDS	987				hypothetical protein
ICLPPAIG_16666	CDS	942				hypothetical protein
ICLPPAIG_16667	CDS	336				hypothetical protein
ICLPPAIG_16668	CDS	156				hypothetical protein
ICLPPAIG_16669	CDS	1056				hypothetical protein
ICLPPAIG_16670	CDS	207				hypothetical protein
ICLPPAIG_16671	CDS	126				hypothetical protein
ICLPPAIG_16672	CDS	252				hypothetical protein
ICLPPAIG_16673	CDS	294				hypothetical protein
ICLPPAIG_16674	CDS	3480				hypothetical protein
ICLPPAIG_16675	CDS	135				hypothetical protein
ICLPPAIG_16676	CDS	408				hypothetical protein
ICLPPAIG_16677	CDS	906				hypothetical protein
ICLPPAIG_16678	CDS	336				hypothetical protein
ICLPPAIG_16679	CDS	252				hypothetical protein
ICLPPAIG_16680	CDS	366				hypothetical protein
ICLPPAIG_16681	tRNA	72				tRNA-Glu(ctc)
ICLPPAIG_16682	CDS	2835				hypothetical protein
ICLPPAIG_16683	CDS	804	yggS_2		COG0325	Pyridoxal phosphate homeostasis protein
ICLPPAIG_16684	tRNA	74				tRNA-Asp(gtc)
ICLPPAIG_16685	CDS	387				hypothetical protein
ICLPPAIG_16686	CDS	171				hypothetical protein
ICLPPAIG_16687	CDS	924				hypothetical protein
ICLPPAIG_16688	CDS	252				hypothetical protein
ICLPPAIG_16689	CDS	204				hypothetical protein
ICLPPAIG_16690	CDS	1944				hypothetical protein
ICLPPAIG_16691	CDS	189				hypothetical protein
ICLPPAIG_16692	CDS	141				hypothetical protein
ICLPPAIG_16693	CDS	2115	uvrB_3			UvrABC system protein B
ICLPPAIG_16694	CDS	2373				hypothetical protein
ICLPPAIG_16695	CDS	285				hypothetical protein
ICLPPAIG_16696	CDS	1104				hypothetical protein
ICLPPAIG_16697	CDS	4491				hypothetical protein
ICLPPAIG_16698	CDS	1554				hypothetical protein
ICLPPAIG_16699	CDS	180				hypothetical protein
ICLPPAIG_16700	CDS	240				hypothetical protein
ICLPPAIG_16701	CDS	339				hypothetical protein
ICLPPAIG_16702	CDS	735				hypothetical protein
ICLPPAIG_16703	CDS	753				hypothetical protein
ICLPPAIG_16704	CDS	294				hypothetical protein
ICLPPAIG_16705	rRNA	117				5S ribosomal RNA
ICLPPAIG_16706	tRNA	72				tRNA-Glu(ctc)
ICLPPAIG_16707	CDS	153				hypothetical protein
ICLPPAIG_16708	CDS	126				hypothetical protein
ICLPPAIG_16709	CDS	255				hypothetical protein
ICLPPAIG_16710	CDS	1677				hypothetical protein
ICLPPAIG_16711	CDS	177				hypothetical protein
ICLPPAIG_16712	CDS	150				hypothetical protein
ICLPPAIG_16713	CDS	228				hypothetical protein
ICLPPAIG_16714	CDS	465				hypothetical protein
ICLPPAIG_16715	tRNA	74				tRNA-Val(cac)
ICLPPAIG_16716	CDS	261				hypothetical protein
ICLPPAIG_16717	CDS	210				hypothetical protein
ICLPPAIG_16718	CDS	2148				hypothetical protein
ICLPPAIG_16719	CDS	2352				hypothetical protein
ICLPPAIG_16720	CDS	198				hypothetical protein
ICLPPAIG_16721	CDS	144				hypothetical protein
ICLPPAIG_16722	CDS	4011				hypothetical protein
ICLPPAIG_16723	CDS	552				hypothetical protein
ICLPPAIG_16724	CDS	126				hypothetical protein
ICLPPAIG_16725	CDS	387				hypothetical protein
ICLPPAIG_16726	CDS	663				hypothetical protein
ICLPPAIG_16727	CDS	243				hypothetical protein
ICLPPAIG_16728	CDS	690				hypothetical protein
ICLPPAIG_16729	CDS	270				hypothetical protein
ICLPPAIG_16730	CDS	129				hypothetical protein
ICLPPAIG_16731	CDS	6051	smc_19			Chromosome partition protein Smc
ICLPPAIG_16732	CDS	2349	cmlB_2	2.6.1.85	COG0147	Aminodeoxychorismate synthase
ICLPPAIG_16733	CDS	183				hypothetical protein
ICLPPAIG_16734	CDS	2397				hypothetical protein
ICLPPAIG_16735	CDS	213				hypothetical protein
ICLPPAIG_16736	CDS	2292				hypothetical protein
ICLPPAIG_16737	CDS	441				hypothetical protein
ICLPPAIG_16738	CDS	384				hypothetical protein
ICLPPAIG_16739	CDS	753	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
ICLPPAIG_16740	CDS	213				hypothetical protein
ICLPPAIG_16741	CDS	282				hypothetical protein
ICLPPAIG_16742	CDS	1878				hypothetical protein
ICLPPAIG_16743	CDS	192				hypothetical protein
ICLPPAIG_16744	CDS	552				hypothetical protein
ICLPPAIG_16745	CDS	4128	pknD_56	2.7.11.1		Serine/threonine-protein kinase PknD
ICLPPAIG_16746	CDS	1755				hypothetical protein
ICLPPAIG_16747	CDS	165				hypothetical protein
ICLPPAIG_16748	CDS	228				hypothetical protein
ICLPPAIG_16749	CDS	210				hypothetical protein
ICLPPAIG_16750	CDS	1611				hypothetical protein
ICLPPAIG_16751	CDS	336				hypothetical protein
ICLPPAIG_16752	CDS	180				hypothetical protein
ICLPPAIG_16753	CDS	1548				hypothetical protein
ICLPPAIG_16754	CDS	999				hypothetical protein
ICLPPAIG_16755	CDS	3822				hypothetical protein
ICLPPAIG_16756	CDS	123				hypothetical protein
ICLPPAIG_16757	CDS	4695				hypothetical protein
ICLPPAIG_16758	CDS	2022				hypothetical protein
ICLPPAIG_16759	CDS	1344	argD_3	2.6.1.11	COG4992	Acetylornithine aminotransferase
ICLPPAIG_16760	CDS	1056				hypothetical protein
ICLPPAIG_16761	CDS	243				hypothetical protein
ICLPPAIG_16762	CDS	222				hypothetical protein
ICLPPAIG_16763	CDS	240				hypothetical protein
ICLPPAIG_16764	CDS	270				hypothetical protein
ICLPPAIG_16765	CDS	1614				hypothetical protein
ICLPPAIG_16766	CDS	1692				hypothetical protein
ICLPPAIG_16767	CDS	108				hypothetical protein
ICLPPAIG_16768	CDS	1077	bfmBAB_3	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
ICLPPAIG_16769	CDS	258				hypothetical protein
ICLPPAIG_16770	CDS	186				hypothetical protein
ICLPPAIG_16771	CDS	255				hypothetical protein
ICLPPAIG_16772	CDS	135				hypothetical protein
ICLPPAIG_16773	CDS	1503				hypothetical protein
ICLPPAIG_16774	CDS	105				hypothetical protein
ICLPPAIG_16775	CDS	2508				hypothetical protein
ICLPPAIG_16776	CDS	495				hypothetical protein
ICLPPAIG_16777	CDS	144				hypothetical protein
ICLPPAIG_16778	CDS	201				hypothetical protein
ICLPPAIG_16779	CDS	339				hypothetical protein
ICLPPAIG_16780	CDS	240				hypothetical protein
ICLPPAIG_16781	CDS	132				hypothetical protein
ICLPPAIG_16782	CDS	267				hypothetical protein
ICLPPAIG_16783	CDS	924				hypothetical protein
ICLPPAIG_16784	CDS	429				hypothetical protein
ICLPPAIG_16785	CDS	222				hypothetical protein
ICLPPAIG_16786	CDS	312				hypothetical protein
ICLPPAIG_16787	CDS	231				hypothetical protein
ICLPPAIG_16788	CDS	414				hypothetical protein
ICLPPAIG_16789	CDS	219				hypothetical protein
ICLPPAIG_16790	CDS	234				hypothetical protein
ICLPPAIG_16791	CDS	447				hypothetical protein
ICLPPAIG_16792	CDS	111				hypothetical protein
ICLPPAIG_16793	CDS	378				hypothetical protein
ICLPPAIG_16794	CDS	3537	pycA_3	6.4.1.1		Pyruvate carboxylase
ICLPPAIG_16795	CDS	180				hypothetical protein
ICLPPAIG_16796	CDS	228				hypothetical protein
ICLPPAIG_16797	CDS	261				hypothetical protein
ICLPPAIG_16798	CDS	198				hypothetical protein
ICLPPAIG_16799	CDS	207				hypothetical protein
ICLPPAIG_16800	CDS	1515				hypothetical protein
ICLPPAIG_16801	CDS	825				hypothetical protein
ICLPPAIG_16802	CDS	195				hypothetical protein
ICLPPAIG_16803	CDS	120				hypothetical protein
ICLPPAIG_16804	CDS	243				hypothetical protein
ICLPPAIG_16805	CDS	2367				hypothetical protein
ICLPPAIG_16806	CDS	192				hypothetical protein
ICLPPAIG_16807	CDS	618				hypothetical protein
ICLPPAIG_16808	CDS	765				hypothetical protein
ICLPPAIG_16809	CDS	1605				hypothetical protein
ICLPPAIG_16810	CDS	654				hypothetical protein
ICLPPAIG_16811	CDS	222				hypothetical protein
ICLPPAIG_16812	CDS	768				hypothetical protein
ICLPPAIG_16813	CDS	462				hypothetical protein
ICLPPAIG_16814	CDS	201				hypothetical protein
ICLPPAIG_16815	CDS	162				hypothetical protein
ICLPPAIG_16816	CDS	156				hypothetical protein
ICLPPAIG_16817	CDS	1617				hypothetical protein
ICLPPAIG_16818	CDS	105				hypothetical protein
ICLPPAIG_16819	CDS	210				hypothetical protein
ICLPPAIG_16820	CDS	1686	ruvB_5	3.6.4.-		Holliday junction branch migration complex subunit RuvB
ICLPPAIG_16821	CDS	2940				hypothetical protein
ICLPPAIG_16822	CDS	309				hypothetical protein
ICLPPAIG_16823	CDS	183				hypothetical protein
ICLPPAIG_16824	CDS	171				hypothetical protein
ICLPPAIG_16825	CDS	294				hypothetical protein
ICLPPAIG_16826	CDS	192				hypothetical protein
ICLPPAIG_16827	CDS	1203	ftsH_31	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
ICLPPAIG_16828	CDS	276				hypothetical protein
ICLPPAIG_16829	CDS	2037	dnaJ_24			Chaperone protein DnaJ
ICLPPAIG_16830	CDS	219				hypothetical protein
ICLPPAIG_16831	CDS	123				hypothetical protein
ICLPPAIG_16832	CDS	324				hypothetical protein
ICLPPAIG_16833	CDS	153				hypothetical protein
ICLPPAIG_16834	CDS	234				hypothetical protein
ICLPPAIG_16835	CDS	456				hypothetical protein
ICLPPAIG_16836	CDS	210				hypothetical protein
ICLPPAIG_16837	CDS	1578	lpqL_2	3.4.11.1	COG2234	putative lipoprotein aminopeptidase LpqL
ICLPPAIG_16838	CDS	1203		1.17.1.9		Formate dehydrogenase, mitochondrial
ICLPPAIG_16839	CDS	234				hypothetical protein
ICLPPAIG_16840	CDS	393				hypothetical protein
ICLPPAIG_16841	CDS	240				hypothetical protein
ICLPPAIG_16842	CDS	138				hypothetical protein
ICLPPAIG_16843	CDS	261				hypothetical protein
ICLPPAIG_16844	CDS	168				hypothetical protein
ICLPPAIG_16845	CDS	168				hypothetical protein
ICLPPAIG_16846	CDS	165				hypothetical protein
ICLPPAIG_16847	CDS	144				hypothetical protein
ICLPPAIG_16848	CDS	522				hypothetical protein
ICLPPAIG_16849	CDS	246				hypothetical protein
ICLPPAIG_16850	CDS	237				hypothetical protein
ICLPPAIG_16851	CDS	507				hypothetical protein
ICLPPAIG_16852	CDS	108				hypothetical protein
ICLPPAIG_16853	CDS	240				hypothetical protein
ICLPPAIG_16854	CDS	249				hypothetical protein
ICLPPAIG_16855	CDS	516				hypothetical protein
ICLPPAIG_16856	CDS	201				hypothetical protein
ICLPPAIG_16857	CDS	504				hypothetical protein
ICLPPAIG_16858	CDS	204				hypothetical protein
ICLPPAIG_16859	CDS	243				hypothetical protein
ICLPPAIG_16860	CDS	156				hypothetical protein
ICLPPAIG_16861	CDS	285				hypothetical protein
ICLPPAIG_16862	CDS	333				hypothetical protein
ICLPPAIG_16863	CDS	465				hypothetical protein
ICLPPAIG_16864	CDS	198				hypothetical protein
ICLPPAIG_16865	CDS	1893				hypothetical protein
ICLPPAIG_16866	CDS	396				hypothetical protein
ICLPPAIG_16867	CDS	2919				hypothetical protein
ICLPPAIG_16868	CDS	558				hypothetical protein
ICLPPAIG_16869	CDS	135				hypothetical protein
ICLPPAIG_16870	CDS	963				hypothetical protein
ICLPPAIG_16871	CDS	189				hypothetical protein
ICLPPAIG_16872	CDS	165				hypothetical protein
ICLPPAIG_16873	CDS	1539				hypothetical protein
ICLPPAIG_16874	CDS	207				hypothetical protein
ICLPPAIG_16875	CDS	846				hypothetical protein
ICLPPAIG_16876	CDS	168				hypothetical protein
ICLPPAIG_16877	CDS	201				hypothetical protein
ICLPPAIG_16878	CDS	135				hypothetical protein
ICLPPAIG_16879	CDS	201				hypothetical protein
ICLPPAIG_16880	CDS	213				hypothetical protein
ICLPPAIG_16881	CDS	1563	lysP_22		COG0833	Lysine-specific permease LysP
ICLPPAIG_16882	CDS	1242				hypothetical protein
ICLPPAIG_16883	tRNA	75				tRNA-Asn(gtt)
ICLPPAIG_16884	CDS	2673				hypothetical protein
ICLPPAIG_16885	CDS	3465				hypothetical protein
ICLPPAIG_16886	CDS	1557				hypothetical protein
ICLPPAIG_16887	CDS	1068	rihB_2	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
ICLPPAIG_16888	CDS	363				hypothetical protein
ICLPPAIG_16889	CDS	723	gpm2_2	3.1.3.2	COG0406	Acid phosphatase
ICLPPAIG_16890	CDS	321				hypothetical protein
ICLPPAIG_16891	CDS	339				hypothetical protein
ICLPPAIG_16892	CDS	243				hypothetical protein
ICLPPAIG_16893	CDS	1233				hypothetical protein
ICLPPAIG_16894	CDS	1008				hypothetical protein
ICLPPAIG_16895	CDS	159				hypothetical protein
ICLPPAIG_16896	CDS	195				hypothetical protein
ICLPPAIG_16897	CDS	171				hypothetical protein
ICLPPAIG_16898	CDS	213				hypothetical protein
ICLPPAIG_16899	CDS	1572	tmm_2	1.14.13.148		Trimethylamine monooxygenase
ICLPPAIG_16900	CDS	240				hypothetical protein
ICLPPAIG_16901	CDS	270				hypothetical protein
ICLPPAIG_16902	CDS	1386	dnaJ_25			Chaperone protein DnaJ
ICLPPAIG_16903	CDS	144				hypothetical protein
ICLPPAIG_16904	CDS	387				hypothetical protein
ICLPPAIG_16905	CDS	453				hypothetical protein
ICLPPAIG_16906	CDS	1773	mdtP_6		COG0477	Multidrug transporter protein MdtP
ICLPPAIG_16907	CDS	582				hypothetical protein
ICLPPAIG_16908	CDS	183				hypothetical protein
ICLPPAIG_16909	CDS	132				hypothetical protein
ICLPPAIG_16910	CDS	192				hypothetical protein
ICLPPAIG_16911	CDS	261				hypothetical protein
ICLPPAIG_16912	CDS	285				hypothetical protein
ICLPPAIG_16913	CDS	198				hypothetical protein
ICLPPAIG_16914	CDS	2301	ftsH_32	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
ICLPPAIG_16915	CDS	1437	secY_4			Protein translocase subunit SecY
ICLPPAIG_16916	CDS	144				hypothetical protein
ICLPPAIG_16917	CDS	150				hypothetical protein
ICLPPAIG_16918	CDS	270				hypothetical protein
ICLPPAIG_16919	CDS	234				hypothetical protein
ICLPPAIG_16920	CDS	351				hypothetical protein
ICLPPAIG_16921	CDS	123				hypothetical protein
ICLPPAIG_16922	CDS	231				hypothetical protein
ICLPPAIG_16923	CDS	483				hypothetical protein
ICLPPAIG_16924	CDS	162				hypothetical protein
ICLPPAIG_16925	CDS	1020	fbp_3	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
ICLPPAIG_16926	CDS	198				hypothetical protein
ICLPPAIG_16927	CDS	153				hypothetical protein
ICLPPAIG_16928	CDS	1416				hypothetical protein
ICLPPAIG_16929	CDS	1089	manB_2	2.7.7.13	COG1208	Mannose-1-phosphate guanylyltransferase
ICLPPAIG_16930	CDS	243				hypothetical protein
ICLPPAIG_16931	CDS	219				hypothetical protein
ICLPPAIG_16932	CDS	996				hypothetical protein
ICLPPAIG_16933	CDS	144				hypothetical protein
ICLPPAIG_16934	CDS	207				hypothetical protein
ICLPPAIG_16935	CDS	624				hypothetical protein
ICLPPAIG_16936	CDS	408				hypothetical protein
ICLPPAIG_16937	CDS	171				hypothetical protein
ICLPPAIG_16938	CDS	1335	deoK_4	2.7.1.15		Deoxyribokinase
ICLPPAIG_16939	CDS	1032	psuG_2	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
ICLPPAIG_16940	CDS	1449				hypothetical protein
ICLPPAIG_16941	CDS	270				hypothetical protein
ICLPPAIG_16942	CDS	927				hypothetical protein
ICLPPAIG_16943	CDS	156				hypothetical protein
ICLPPAIG_16944	CDS	393				hypothetical protein
ICLPPAIG_16945	CDS	1722				hypothetical protein
ICLPPAIG_16946	CDS	180				hypothetical protein
ICLPPAIG_16947	CDS	213				hypothetical protein
ICLPPAIG_16948	CDS	2706				hypothetical protein
ICLPPAIG_16949	CDS	750				hypothetical protein
ICLPPAIG_16950	CDS	132				hypothetical protein
ICLPPAIG_16951	CDS	237				hypothetical protein
ICLPPAIG_16952	CDS	402				hypothetical protein
ICLPPAIG_16953	CDS	810				hypothetical protein
ICLPPAIG_16954	CDS	348				hypothetical protein
ICLPPAIG_16955	CDS	186				hypothetical protein
ICLPPAIG_16956	CDS	105				hypothetical protein
ICLPPAIG_16957	CDS	846				hypothetical protein
ICLPPAIG_16958	CDS	765				hypothetical protein
ICLPPAIG_16959	CDS	642				hypothetical protein
ICLPPAIG_16960	CDS	150				hypothetical protein
ICLPPAIG_16961	CDS	276				hypothetical protein
ICLPPAIG_16962	CDS	189				hypothetical protein
ICLPPAIG_16963	CDS	456				hypothetical protein
ICLPPAIG_16964	CDS	681				hypothetical protein
ICLPPAIG_16965	CDS	198				hypothetical protein
ICLPPAIG_16966	CDS	648				hypothetical protein
ICLPPAIG_16967	CDS	396				hypothetical protein
ICLPPAIG_16968	CDS	3081				hypothetical protein
ICLPPAIG_16969	CDS	393				hypothetical protein
ICLPPAIG_16970	CDS	477				hypothetical protein
ICLPPAIG_16971	CDS	393				hypothetical protein
ICLPPAIG_16972	CDS	882				hypothetical protein
ICLPPAIG_16973	CDS	831				hypothetical protein
ICLPPAIG_16974	CDS	2844				hypothetical protein
ICLPPAIG_16975	CDS	168				hypothetical protein
ICLPPAIG_16976	CDS	492				hypothetical protein
ICLPPAIG_16977	CDS	831				hypothetical protein
ICLPPAIG_16978	CDS	849				hypothetical protein
ICLPPAIG_16979	CDS	1203				hypothetical protein
ICLPPAIG_16980	CDS	612				hypothetical protein
ICLPPAIG_16981	CDS	153				hypothetical protein
ICLPPAIG_16982	CDS	189				hypothetical protein
ICLPPAIG_16983	CDS	240				hypothetical protein
ICLPPAIG_16984	CDS	204				hypothetical protein
ICLPPAIG_16985	CDS	228				hypothetical protein
ICLPPAIG_16986	CDS	651				hypothetical protein
ICLPPAIG_16987	CDS	132				hypothetical protein
ICLPPAIG_16988	CDS	174				hypothetical protein
ICLPPAIG_16989	CDS	273				hypothetical protein
ICLPPAIG_16990	CDS	300				hypothetical protein
ICLPPAIG_16991	CDS	429				hypothetical protein
ICLPPAIG_16992	CDS	168				hypothetical protein
ICLPPAIG_16993	CDS	213				hypothetical protein
ICLPPAIG_16994	CDS	180				hypothetical protein
ICLPPAIG_16995	CDS	309				hypothetical protein
ICLPPAIG_16996	CDS	144				hypothetical protein
ICLPPAIG_16997	CDS	828				hypothetical protein
ICLPPAIG_16998	CDS	351				hypothetical protein
ICLPPAIG_16999	CDS	900				hypothetical protein
ICLPPAIG_17000	CDS	1533				hypothetical protein
ICLPPAIG_17001	CDS	1530				hypothetical protein
ICLPPAIG_17002	rRNA	117				5S ribosomal RNA
ICLPPAIG_17003	CDS	258				hypothetical protein
ICLPPAIG_17004	CDS	1887				hypothetical protein
ICLPPAIG_17005	CDS	192				hypothetical protein
ICLPPAIG_17006	CDS	2733				hypothetical protein
ICLPPAIG_17007	CDS	759				hypothetical protein
ICLPPAIG_17008	CDS	144				hypothetical protein
ICLPPAIG_17009	CDS	201				hypothetical protein
ICLPPAIG_17010	CDS	198				hypothetical protein
ICLPPAIG_17011	CDS	441				hypothetical protein
ICLPPAIG_17012	CDS	1347	sucC_3	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
ICLPPAIG_17013	CDS	219				hypothetical protein
ICLPPAIG_17014	CDS	192				hypothetical protein
ICLPPAIG_17015	CDS	861				hypothetical protein
ICLPPAIG_17016	CDS	156				hypothetical protein
ICLPPAIG_17017	CDS	549				hypothetical protein
ICLPPAIG_17018	CDS	219				hypothetical protein
ICLPPAIG_17019	CDS	204				hypothetical protein
ICLPPAIG_17020	CDS	213				hypothetical protein
ICLPPAIG_17021	CDS	2841	fhs_3	6.3.4.3		Formate--tetrahydrofolate ligase
ICLPPAIG_17022	CDS	213				hypothetical protein
ICLPPAIG_17023	CDS	159				hypothetical protein
ICLPPAIG_17024	CDS	963	fabD_3	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
ICLPPAIG_17025	CDS	228				hypothetical protein
ICLPPAIG_17026	CDS	234				hypothetical protein
ICLPPAIG_17027	CDS	1104				hypothetical protein
ICLPPAIG_17028	CDS	2220				hypothetical protein
ICLPPAIG_17029	CDS	141				hypothetical protein
ICLPPAIG_17030	CDS	2439				hypothetical protein
ICLPPAIG_17031	CDS	198				hypothetical protein
ICLPPAIG_17032	CDS	180				hypothetical protein
ICLPPAIG_17033	CDS	648				hypothetical protein
ICLPPAIG_17034	CDS	270				hypothetical protein
ICLPPAIG_17035	CDS	216				hypothetical protein
ICLPPAIG_17036	CDS	1308	cshA_7	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
ICLPPAIG_17037	CDS	1605	obg_5	3.6.5.-		GTPase Obg
ICLPPAIG_17038	CDS	321				hypothetical protein
ICLPPAIG_17039	CDS	219				hypothetical protein
ICLPPAIG_17040	CDS	117				hypothetical protein
ICLPPAIG_17041	CDS	231				hypothetical protein
ICLPPAIG_17042	CDS	789				hypothetical protein
ICLPPAIG_17043	CDS	207				hypothetical protein
ICLPPAIG_17044	CDS	276				hypothetical protein
ICLPPAIG_17045	CDS	288				hypothetical protein
ICLPPAIG_17046	CDS	2322				hypothetical protein
ICLPPAIG_17047	CDS	240				hypothetical protein
ICLPPAIG_17048	CDS	186				hypothetical protein
ICLPPAIG_17049	CDS	201				hypothetical protein
ICLPPAIG_17050	CDS	240				hypothetical protein
ICLPPAIG_17051	CDS	315				hypothetical protein
ICLPPAIG_17052	CDS	1518				hypothetical protein
ICLPPAIG_17053	CDS	357				hypothetical protein
ICLPPAIG_17054	CDS	225				hypothetical protein
ICLPPAIG_17055	CDS	108				hypothetical protein
ICLPPAIG_17056	CDS	120				hypothetical protein
ICLPPAIG_17057	CDS	2712	nrdA_4	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
ICLPPAIG_17058	CDS	168				hypothetical protein
ICLPPAIG_17059	tRNA	74				tRNA-Cys(gca)
ICLPPAIG_17060	CDS	3480	rpoB_5	2.7.7.6		DNA-directed RNA polymerase subunit beta
ICLPPAIG_17061	CDS	3531				hypothetical protein
ICLPPAIG_17062	CDS	195				hypothetical protein
ICLPPAIG_17063	CDS	336				hypothetical protein
ICLPPAIG_17064	CDS	171				hypothetical protein
ICLPPAIG_17065	CDS	153				hypothetical protein
ICLPPAIG_17066	CDS	282				hypothetical protein
ICLPPAIG_17067	CDS	252				hypothetical protein
ICLPPAIG_17068	CDS	1638				hypothetical protein
ICLPPAIG_17069	CDS	1572				hypothetical protein
ICLPPAIG_17070	CDS	2250				hypothetical protein
ICLPPAIG_17071	CDS	240				hypothetical protein
ICLPPAIG_17072	CDS	2721				hypothetical protein
ICLPPAIG_17073	CDS	339				hypothetical protein
